edit_decision_id	article_id	round	editor_id	decision	date_decided
415	286	1	600	1	2012-04-11 08:03:59
416	270	2	77	1	2012-04-12 18:52:18
417	326	1	6	1	2012-04-22 18:54:05
418	324	1	6	1	2012-04-22 18:56:29
419	325	1	6	1	2012-04-22 18:57:36
420	323	1	6	1	2012-04-22 18:58:08
421	327	1	6	1	2012-04-22 21:13:06
422	276	1	77	3	2012-04-23 19:49:52
423	282	1	600	1	2012-04-25 16:55:19
424	243	1	77	1	2012-04-26 20:23:44
425	264	1	77	3	2012-04-30 20:11:24
426	261	1	77	4	2012-05-08 20:33:47
427	333	1	6	1	2012-05-09 10:27:36
428	165	1	10	1	2012-05-10 19:17:46
429	295	1	600	1	2012-05-11 13:37:42
430	280	1	77	2	2012-05-11 14:21:44
431	262	1	77	2	2012-05-13 16:40:10
432	322	1	10	4	2012-05-22 20:13:19
433	118	1	10	1	2012-05-29 10:03:23
434	337	1	10	4	2012-05-29 10:07:40
435	203	1	2	1	2012-05-29 16:20:55
436	222	1	2	2	2012-06-05 04:06:59
437	222	1	2	1	2012-06-05 06:12:07
438	342	1	6	1	2012-06-15 16:45:55
439	345	1	6	1	2012-06-26 15:04:16
440	280	1	77	1	2012-07-02 17:08:43
441	334	1	77	2	2012-07-04 07:02:38
442	294	1	77	2	2012-07-05 00:12:44
443	42	1	2	4	2012-07-06 15:13:13
444	42	1	2	2	2012-07-06 15:16:02
445	48	1	10	4	2012-07-06 15:20:32
446	347	1	10	4	2012-07-07 16:38:35
447	343	1	10	4	2012-07-08 22:26:11
448	294	1	77	1	2012-07-09 22:16:02
449	344	1	10	4	2012-07-10 10:15:00
450	328	1	10	2	2012-07-12 09:13:09
451	264	2	77	4	2012-07-15 00:23:58
452	255	2	77	2	2012-07-15 00:31:06
479	362	1	2	1	2012-09-07 00:06:51
454	358	1	10	4	2012-07-29 22:19:14
455	354	1	10	4	2012-07-29 22:28:07
456	351	1	10	4	2012-07-29 22:51:51
457	349	1	10	4	2012-07-29 23:17:33
